"gene","sample","expression","organism","age","sex","infection","strain","time","tissue","mouse","ENTREZID","product","ensembl_gene_id","external_synonym","chromosome_name","gene_biotype","phenotype_description","hsapiens_homolog_associated_gene_name"
"B3gnt7","GSM2545337",21,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum","9","227327","UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7","ENSMUSG00000079445","beta-3GnT7","1","protein_coding","enlarged heart","B3GNT7"
"Snora75","GSM2545337",11,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum","9","100303740","small nucleolar RNA, H/ACA box 75","ENSMUSG00000064837","MBI-55","1","snoRNA",NA,"SNORA75"
"Nmur1","GSM2545337",31,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum","9","14767","neuromedin U receptor 1","ENSMUSG00000026237","FM-3","1","protein_coding","decreased circulating insulin level","NMUR1"
"Dis3l2","GSM2545337",764,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum","9","208718","DIS3 mitotic control homolog (S. cerevisiae)-like 2, transcript variant X1","ENSMUSG00000053333","4930429A22Rik","1","protein_coding","abnormal renal/urinary system morphology","DIS3L2"
"Gm6136","GSM2545337",19,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum","9","620213",NA,"ENSMUSG00000084106",NA,"1","processed_pseudogene",NA,NA
"Ecel1","GSM2545337",32,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum","9","13599","endothelin converting enzyme-like 1, transcript variant X2","ENSMUSG00000026247","DINE","1","protein_coding","abnormal innervation pattern to muscle","ECEL1"
"Prss56","GSM2545337",0,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum","9","69453","protease, serine 56, transcript variant X3","ENSMUSG00000036480","1700027L20Rik","1","protein_coding","abnormal behavior","PRSS56"
"Kcnj13","GSM2545337",491,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum","9","100040591","potassium inwardly-rectifying channel, subfamily J, member 13","ENSMUSG00000079436",NA,"1","protein_coding","abnormal embryo size","KCNJ13"
"Inpp5d","GSM2545337",168,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum","9","16331","inositol polyphosphate-5-phosphatase D, transcript variant 1","ENSMUSG00000026288","s-SHIP","1","protein_coding","abnormal B cell differentiation","INPP5D"
"Scarna6","GSM2545337",1,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum","9","100217415","small Cajal body-specific RNA 6","ENSMUSG00000089281","MBI-46","1","scaRNA",NA,NA
"Sag","GSM2545337",7,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum","9","20215","S-antigen, retina and pineal gland (arrestin)","ENSMUSG00000056055","A930001K18Rik","1","protein_coding","decreased circulating HDL cholesterol level","SAG"
"Dgkd","GSM2545337",10155,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum","9","227333","diacylglycerol kinase, delta, transcript variant X2","ENSMUSG00000070738","dgkd-2","1","protein_coding","decreased bone mineral density","DGKD"
"Gm19582","GSM2545337",56,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum","9","100503175","predicted gene, 19582","ENSMUSG00000101942",NA,"1","lncRNA",NA,NA
"Usp40","GSM2545337",1206,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum","9","227334","ubiquitin specific peptidase 40, transcript variant 2","ENSMUSG00000005501","B230215L03Rik","1","protein_coding","decreased grip strength","USP40"
"Ugt1a7c","GSM2545337",7,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum","9","394432","UDP glucuronosyltransferase 1 family, polypeptide A7C","ENSMUSG00000090124","A10'","1","protein_coding",NA,"UGT1A6"
"Dnajb3","GSM2545337",26,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum","9","15504","DnaJ (Hsp40) homolog, subfamily B, member 3","ENSMUSG00000081984","Hsj3","1","protein_coding","decreased leukocyte cell number",NA
"Mroh2a","GSM2545337",13,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum","9","100040766","maestro heat-like repeat family member 2A, transcript variant X9","ENSMUSG00000079429","ENSMUSG00000044873","1","protein_coding",NA,"MROH2A"
"Spp2","GSM2545337",4,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum","9","75396","secreted phosphoprotein 2, transcript variant X1","ENSMUSG00000026295","0610038O04Rik","1","protein_coding",NA,"SPP2"
"Gm29538","GSM2545337",10,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum","9","102636980","predicted gene 29538, transcript variant X2","ENSMUSG00000099553",NA,"1","lncRNA",NA,NA
"Glrp1","GSM2545337",0,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum","9","14659","glutamine repeat protein 1","ENSMUSG00000062310","GRP-1","1","protein_coding",NA,NA
"Sh3bp4","GSM2545337",427,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum","9","98402","SH3-domain binding protein 4","ENSMUSG00000036206","BOG25","1","protein_coding","decreased circulating insulin level","SH3BP4"
"Gbx2","GSM2545337",2,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum","9","14472","gastrulation brain homeobox 2","ENSMUSG00000034486","Gbx-2","1","protein_coding","abnormal aortic arch morphology","GBX2"
"Iqca","GSM2545337",32,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum","9","74918","IQ motif containing with AAA domain","ENSMUSG00000026301","4930465P12Rik","1","protein_coding","reproductive system phenotype","IQCA1"
"Ackr3","GSM2545337",245,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum","9","12778","atypical chemokine receptor 3, transcript variant 1","ENSMUSG00000044337","Cmkor1","1","protein_coding","decreased grip strength","ACKR3"
"Col6a3","GSM2545337",90,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum","9","12835","collagen, type VI, alpha 3, transcript variant 2","ENSMUSG00000048126","Col6a-3","1","protein_coding","decreased body length","COL6A3"
"Rab17","GSM2545337",0,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum","9","19329","RAB17, member RAS oncogene family, transcript variant X1","ENSMUSG00000026304",NA,"1","protein_coding",NA,"RAB17"
"Ube2f","GSM2545337",1317,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum","9","67921","ubiquitin-conjugating enzyme E2F (putative), transcript variant X2","ENSMUSG00000034343","2510010F15Rik","1","protein_coding","abnormal eye morphology","UBE2F"
"Klhl30","GSM2545337",5,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum","9","70788","kelch-like 30","ENSMUSG00000026308","4631423F02Rik","1","protein_coding","decreased leukocyte cell number","KLHL30"
"Twist2","GSM2545337",3,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum","9","13345","twist basic helix-loop-helix transcription factor 2","ENSMUSG00000007805","bHLHa39","1","protein_coding","abnormal heart morphology","TWIST2"
"Hdac4","GSM2545337",1761,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum","9","208727","histone deacetylase 4, transcript variant X5","ENSMUSG00000026313","4932408F19Rik","1","protein_coding","abnormal behavior","HDAC4"
"Ndufa10","GSM2545337",4218,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum","9","67273","NADH dehydrogenase (ubiquinone) 1 alpha subcomplex 10","ENSMUSG00000026260","2900053E13Rik","1","protein_coding","abnormal bone structure","NDUFA10"
"Mir149","GSM2545337",1,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum","9","387167","microRNA 149","ENSMUSG00000065470","Mirn149","1","miRNA","increased circulating aspartate transaminase level",NA
"Ankmy1","GSM2545337",10,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum","9","241158","ankyrin repeat and MYND domain containing 1, transcript variant X2","ENSMUSG00000034212","4930483I10Rik","1","protein_coding",NA,"ANKMY1"
"Rnpepl1","GSM2545337",930,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum","9","108657","arginyl aminopeptidase (aminopeptidase B)-like 1","ENSMUSG00000026269","1110014H17Rik","1","protein_coding","abnormal lymph node morphology","RNPEPL1"
"Capn10","GSM2545337",990,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum","9","23830","calpain 10","ENSMUSG00000026270","Capn8","1","protein_coding","abnormal freezing behavior","CAPN10"
"Gpr35","GSM2545337",44,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum","9","64095","G protein-coupled receptor 35, transcript variant X5","ENSMUSG00000026271",NA,"1","protein_coding","decreased colon length","GPR35"
"Pask","GSM2545337",201,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum","9","269224","PAS domain containing serine/threonine kinase","ENSMUSG00000026274","Paskin","1","protein_coding","abnormal glucose homeostasis","PASK"
"Hdlbp","GSM2545337",8268,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum","9","110611","high density lipoprotein (HDL) binding protein, transcript variant 1","ENSMUSG00000034088","1110005P14Rik","1","protein_coding","increased startle reflex","HDLBP"
"Farp2","GSM2545337",328,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum","9","227377","FERM, RhoGEF and pleckstrin domain protein 2","ENSMUSG00000034066","D030026M03Rik","1","protein_coding","decreased circulating free fatty acids level","FARP2"
"Stk25","GSM2545337",4773,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum","9","59041","serine/threonine kinase 25 (yeast)","ENSMUSG00000026277","1500019J11Rik","1","protein_coding",NA,"STK25"
"Thap4","GSM2545337",466,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum","9","67026","THAP domain containing 4, transcript variant X1","ENSMUSG00000026279","2010320B01Rik","1","protein_coding",NA,"THAP4"
"D2hgdh","GSM2545337",383,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum","9","98314","D-2-hydroxyglutarate dehydrogenase, transcript variant X3","ENSMUSG00000073609",NA,"1","protein_coding",NA,"D2HGDH"
"Pdcd1","GSM2545337",0,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum","9","18566","programmed cell death 1","ENSMUSG00000026285","PD-1","1","protein_coding","abnormal T cell activation","PDCD1"
"Gm7895","GSM2545337",16,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum","9","666025",NA,"ENSMUSG00000100347",NA,"1","processed_pseudogene",NA,NA
"Fam174a","GSM2545337",1403,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum","9","67698","family with sequence similarity 174, member A","ENSMUSG00000051185","2310044D20Rik","1","protein_coding",NA,"FAM174A"
"Slco4c1","GSM2545337",18,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum","9","227394","solute carrier organic anion transporter family, member 4C1","ENSMUSG00000040693","C330017E21Rik","1","protein_coding",NA,"SLCO4C1"
"Panct2","GSM2545337",17,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum","9","329217","pluripotency-associated noncoding transcript 2, transcript variant X1","ENSMUSG00000097814","Gm5101","1","lncRNA",NA,NA
"Gm6430","GSM2545337",7,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum","9","623430",NA,"ENSMUSG00000044757",NA,"1","processed_pseudogene",NA,NA
"Gin1","GSM2545337",337,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum","9","252876","gypsy retrotransposon integrase 1, transcript variant X2","ENSMUSG00000026333","4930429M06","1","protein_coding","abnormal heart morphology","GIN1"
"Pam","GSM2545337",1795,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum","9","18484","peptidylglycine alpha-amidating monooxygenase, transcript variant X2","ENSMUSG00000026335","PHM","1","protein_coding","decreased circulating fructosamine level","PAM"
"Cntnap5b","GSM2545337",1222,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum","9","241175","contactin associated protein-like 5B, transcript variant X1","ENSMUSG00000067028","C230078M14Rik","1","protein_coding",NA,NA
"Cdh20","GSM2545337",953,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum","9","23836","cadherin 20","ENSMUSG00000050840","Cdh7","1","protein_coding",NA,"CDH20"
"Pign","GSM2545337",860,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum","9","27392","phosphatidylinositol glycan anchor biosynthesis, class N, transcript variant X5","ENSMUSG00000056536",NA,"1","protein_coding","abnormal kidney morphology","PIGN"
"Gm10193","GSM2545337",0,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum","9","100042023",NA,"ENSMUSG00000101330",NA,"1","processed_pseudogene",NA,NA
"Tnfrsf11a","GSM2545337",63,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum","9","21934","tumor necrosis factor receptor superfamily, member 11a, NFKB activator","ENSMUSG00000026321","Rank","1","protein_coding","abnormal bone mineralization","TNFRSF11A"
"Gm7160","GSM2545337",19,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum","9","635504","predicted gene 7160, transcript variant X2","ENSMUSG00000099843",NA,"1","lncRNA",NA,NA
"Gm20753","GSM2545337",5,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum","9","626049","predicted gene, 20753","ENSMUSG00000101583",NA,"1","lncRNA",NA,NA
"Bcl2","GSM2545337",726,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum","9","12043","B cell leukemia/lymphoma 2, transcript variant 1","ENSMUSG00000057329","Bcl-2","1","protein_coding","abnormal B cell activation","BCL2"
"Vps4b","GSM2545337",2181,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum","9","20479","vacuolar protein sorting 4b (yeast)","ENSMUSG00000009907","8030489C12Rik","1","protein_coding",NA,"VPS4B"
"Serpinb5","GSM2545337",4,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum","9","20724","serine (or cysteine) peptidase inhibitor, clade B, member 5, transcript variant X2","ENSMUSG00000067006","1110036M19Rik","1","protein_coding","abnormal sinus arrhythmia","SERPINB5"
"Serpinb10","GSM2545337",2,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum","9","241197","serine (or cysteine) peptidase inhibitor, clade B (ovalbumin), member 10, transcript variant X1","ENSMUSG00000092572",NA,"1","polymorphic_pseudogene","abnormal kidney morphology","SERPINB10"
"Gm8141","GSM2545337",8,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum","9","666508",NA,"ENSMUSG00000100025",NA,"1","processed_pseudogene",NA,NA
"Cdh7","GSM2545337",2245,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum","9","241201","cadherin 7, type 2, transcript variant X10","ENSMUSG00000026312","9330156F07Rik","1","protein_coding","hypoactivity","CDH7"
"Cdh19","GSM2545337",708,"Mus musculus",8,"Female","NonInfected","C57BL/6",0,"Cerebellum","9","227485","cadherin 19, type 2, transcript variant X3","ENSMUSG00000047216",NA,"1","protein_coding","decreased lean body mass","CDH19"
