"gene","sample","expression","organism","age","sex","infection","strain","time","tissue","mouse","ENTREZID","product","ensembl_gene_id","external_synonym","chromosome_name","gene_biotype","phenotype_description","hsapiens_homolog_associated_gene_name"
"Asl","GSM2545336",1170,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","109900","argininosuccinate lyase, transcript variant X1","ENSMUSG00000025533","2510006M18Rik","5","protein_coding","abnormal circulating amino acid level","ASL"
"Apod","GSM2545336",36194,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","11815","apolipoprotein D, transcript variant 3","ENSMUSG00000022548",NA,"16","protein_coding","abnormal lipid homeostasis","APOD"
"Cyp2d22","GSM2545336",4060,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","56448","cytochrome P450, family 2, subfamily d, polypeptide 22, transcript variant 2","ENSMUSG00000061740","2D22","15","protein_coding","abnormal skin morphology","CYP2D6"
"Klk6","GSM2545336",287,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","19144","kallikrein related-peptidase 6, transcript variant 2","ENSMUSG00000050063","Bssp","7","protein_coding","abnormal cytokine level","KLK6"
"Fcrls","GSM2545336",85,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","80891","Fc receptor-like S, scavenger receptor, transcript variant X1","ENSMUSG00000015852","2810439C17Rik","3","protein_coding","decreased CD8-positive alpha-beta T cell number","FCRL2"
"Slc2a4","GSM2545336",782,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","20528","solute carrier family 2 (facilitated glucose transporter), member 4","ENSMUSG00000018566","Glut-4","11","protein_coding","abnormal circulating glucose level","SLC2A4"
"Exd2","GSM2545336",1619,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","97827","exonuclease 3'-5' domain containing 2","ENSMUSG00000032705","4930539P14Rik","12","protein_coding",NA,"EXD2"
"Gjc2","GSM2545336",288,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","118454","gap junction protein, gamma 2, transcript variant 1","ENSMUSG00000043448","B230382L12Rik","11","protein_coding","Purkinje cell degeneration","GJC2"
"Plp1","GSM2545336",43217,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","18823","proteolipid protein (myelin) 1, transcript variant 1","ENSMUSG00000031425","DM20","X","protein_coding","abnormal CNS glial cell morphology","PLP1"
"Gnb4","GSM2545336",1071,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","14696","guanine nucleotide binding protein (G protein), beta 4, transcript variant X2","ENSMUSG00000027669","6720453A21Rik","3","protein_coding","decreased anxiety-related response","GNB4"
"Tnc","GSM2545336",219,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","21923","tenascin C","ENSMUSG00000028364","C130033P17Rik","4","protein_coding","abnormal CNS synaptic transmission","TNC"
"Trf","GSM2545336",9719,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","22041","transferrin","ENSMUSG00000032554","HP","9","protein_coding","abnormal circulating phosphate level","TF"
"Tubb2b","GSM2545336",2245,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","73710","tubulin, beta 2B class IIB","ENSMUSG00000045136","2410129E14Rik","13","protein_coding","preweaning lethality incomplete penetrance","TUBB2B"
"Fads1","GSM2545336",6498,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","76267","fatty acid desaturase 1","ENSMUSG00000010663","0710001O03Rik","19","protein_coding","abnormal testis morphology","FADS1"
"Lxn","GSM2545336",1744,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","17035","latexin","ENSMUSG00000047557",NA,"3","protein_coding","increased thermal nociceptive threshold","LXN"
"Prr18","GSM2545336",1284,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","320111","proline rich 18, transcript variant 2","ENSMUSG00000055945","9630019K15Rik","17","protein_coding",NA,"PRR18"
"Cmtm5","GSM2545336",1381,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","67272","CKLF-like MARVEL transmembrane domain containing 5, transcript variant 2","ENSMUSG00000040759","1500005P16Rik","14","protein_coding","decreased blood urea nitrogen level","CMTM5"
"Enpp1","GSM2545336",388,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","18605","ectonucleotide pyrophosphatase/phosphodiesterase 1, transcript variant X4","ENSMUSG00000037370","4833416E15Rik","10","protein_coding","abnormal adipose tissue morphology","ENPP1"
"Clic4","GSM2545336",5795,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","29876","chloride intracellular channel 4 (mitochondrial)","ENSMUSG00000037242","D0Jmb3","4","protein_coding","abnormal angiogenesis","CLIC4"
"Tm6sf2","GSM2545336",32,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","107770","transmembrane 6 superfamily member 2, transcript variant 1","ENSMUSG00000036151",NA,"8","protein_coding","abnormal cholesterol homeostasis","TM6SF2"
"Slc20a2","GSM2545336",8044,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","20516","solute carrier family 20, member 2","ENSMUSG00000037656","MolPit2","8","protein_coding","abnormal auditory brainstem response","SLC20A2"
"Itih3","GSM2545336",5918,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","16426","inter-alpha trypsin inhibitor, heavy chain 3, transcript variant X2","ENSMUSG00000006522","Intin3","14","protein_coding",NA,"ITIH3"
"Ptn","GSM2545336",5156,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","19242","pleiotrophin, transcript variant X1","ENSMUSG00000029838","HB-GAM","6","protein_coding","abnormal circulating enzyme level","PTN"
"Prodh","GSM2545336",2385,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","19125","proline dehydrogenase","ENSMUSG00000003526","Pro-1","16","protein_coding","increased lung weight",NA
"Msantd1","GSM2545336",85,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","403174","Myb/SANT-like DNA-binding domain containing 1, transcript variant X2","ENSMUSG00000051246","A930005I04Rik","5","protein_coding","abnormal heart morphology","MSANTD1"
"Ugt8a","GSM2545336",1239,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","22239","UDP galactosyltransferase 8A, transcript variant X1","ENSMUSG00000032854","Cgt","3","protein_coding","abnormal Purkinje cell morphology","UGT8"
"Fbln5","GSM2545336",1589,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","23876","fibulin 5","ENSMUSG00000021186","EVEC","12","protein_coding","abnormal aorta elastic fiber morphology","FBLN5"
"Trp53inp2","GSM2545336",8374,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","68728","transformation related protein 53 inducible nuclear protein 2, transcript variant X2","ENSMUSG00000038375","1110029F20Rik","2","protein_coding","abnormal eye morphology","TP53INP2"
"Slc7a3","GSM2545336",236,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","11989","solute carrier family 7 (cationic amino acid transporter, y+ system), member 3, transcript variant X5","ENSMUSG00000031297","Atrc3","X","protein_coding","decreased body length","SLC7A3"
"Dnase1l2","GSM2545336",169,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","66705","deoxyribonuclease 1-like 2, transcript variant X2","ENSMUSG00000024136","4733401H14Rik","17","protein_coding","abnormal autopod morphology","DNASE1L2"
"Icosl","GSM2545336",1198,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","50723","icos ligand","ENSMUSG00000000732","B7-H2","10","protein_coding","abnormal T cell differentiation","ICOSLG"
"Rmnd1","GSM2545336",797,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","66084","required for meiotic nuclear division 1 homolog (S. cerevisiae), transcript variant X2","ENSMUSG00000019763","0610042C05Rik","10","protein_coding",NA,"RMND1"
"Tssk5","GSM2545336",368,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","73542","testis-specific serine kinase 5","ENSMUSG00000060794","1700091F14Rik","15","protein_coding","decreased leukocyte cell number",NA
"Pycr1","GSM2545336",19,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","209027","pyrroline-5-carboxylate reductase 1","ENSMUSG00000025140",NA,"11","protein_coding","impaired glucose tolerance","PYCR1"
"Pla2g3","GSM2545336",515,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","237625","phospholipase A2, group III, transcript variant X2","ENSMUSG00000034579","9130003P18Rik","11","protein_coding","abnormal acrosome morphology","PLA2G3"
"Vmn2r1","GSM2545336",116,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","56544","vomeronasal 2, receptor 1, transcript variant X1","ENSMUSG00000027824","EG56544","3","protein_coding","abnormal vomeronasal organ morphology",NA
"Gm29797","GSM2545336",30,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","101056205","predicted gene, 29797, transcript variant X1","ENSMUSG00000108976",NA,"2","protein_coding",NA,"C20orf204"
"Phyhd1","GSM2545336",2154,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","227696","phytanoyl-CoA dioxygenase domain containing 1, transcript variant 1","ENSMUSG00000079484",NA,"2","protein_coding",NA,"PHYHD1"
"Gpr146","GSM2545336",1520,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","80290","G protein-coupled receptor 146, transcript variant X1","ENSMUSG00000044197","PGR8","5","protein_coding","decreased circulating cholesterol level","GPR146"
"Mag","GSM2545336",5250,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","17136","myelin-associated glycoprotein, transcript variant X1","ENSMUSG00000036634","Gma","7","protein_coding","abnormal auditory brainstem response","MAG"
"Tufm","GSM2545336",1581,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","233870","Tu translation elongation factor, mitochondrial, transcript variant X1","ENSMUSG00000073838","2300002G02Rik","7","protein_coding","abnormal bone structure","TUFM"
"Igdcc4","GSM2545336",2101,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","56741","immunoglobulin superfamily, DCC subclass, member 4, transcript variant X10","ENSMUSG00000032816","9330155G14Rik","9","protein_coding",NA,"IGDCC4"
"Gm10654","GSM2545336",472,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","665828","predicted gene 10654","ENSMUSG00000074252","EG665828","8","TEC",NA,NA
"Ncmap","GSM2545336",143,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","230822","noncompact myelin associated protein, transcript variant 1","ENSMUSG00000043924","A330049M08Rik","4","protein_coding",NA,"NCMAP"
"Etv4","GSM2545336",208,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","18612","ets variant 4","ENSMUSG00000017724","Pea-3","11","protein_coding","abnormal branching of the mammary ductal tree","ETV4"
"Fabp7","GSM2545336",215,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","12140","fatty acid binding protein 7, brain","ENSMUSG00000019874","B-FABP","10","protein_coding","abnormal dentate gyrus morphology","FABP7"
"Cpsf4l","GSM2545336",7,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","52670","cleavage and polyadenylation specific factor 4-like, transcript variant X2","ENSMUSG00000018727","0610010C04Rik","11","protein_coding","increased bone mineral density","CPSF4L"
"Hexa","GSM2545336",1208,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","15211","hexosaminidase A, transcript variant X1","ENSMUSG00000025232","Hex-1","9","protein_coding","abnormal brain morphology",NA
"Mfge8","GSM2545336",1290,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","17304","milk fat globule-EGF factor 8 protein, transcript variant 2","ENSMUSG00000030605","EGF/factor VIII","7","protein_coding","abnormal cell adhesion","MFGE8"
"Ccdc136","GSM2545336",6225,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","232664","coiled-coil domain containing 136, transcript variant X2","ENSMUSG00000029769","4921511K06Rik","6","protein_coding","abnormal sperm nucleus morphology","CCDC136"
"Glul","GSM2545336",89445,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","14645","glutamate-ammonia ligase (glutamine synthetase)","ENSMUSG00000026473","Glns","1","protein_coding","embryonic lethality before implantation incomplete penetrance","GLUL"
"Hopx","GSM2545336",3965,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","74318","HOP homeobox, transcript variant 1","ENSMUSG00000059325","1110018K11Rik","5","protein_coding","abnormal cardiovascular system physiology","HOPX"
"Pigq","GSM2545336",3353,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","14755","phosphatidylinositol glycan anchor biosynthesis, class Q, transcript variant 2","ENSMUSG00000025728","Gpi1","17","protein_coding","abnormal allantois morphology","PIGQ"
"Vps11","GSM2545336",4372,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","71732","vacuolar protein sorting 11 (yeast), transcript variant X3","ENSMUSG00000032127","1200011A11Rik","9","protein_coding","abnormal circulating phosphate level","VPS11"
"Proca1","GSM2545336",158,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","216974","protein interacting with cyclin A1","ENSMUSG00000044122","4933404M19Rik","11","protein_coding",NA,"PROCA1"
"Fbxl22","GSM2545336",39,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","74165","F-box and leucine-rich repeat protein 22","ENSMUSG00000050503","1110004B15Rik","9","protein_coding","increased circulating HDL cholesterol level","FBXL22"
"Sfxn5","GSM2545336",8426,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","94282","sideroflexin 5, transcript variant X1","ENSMUSG00000033720","C230001H08Rik","6","protein_coding",NA,"SFXN5"
"Hexim2","GSM2545336",896,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","71059","hexamethylene bis-acetamide inducible 2, transcript variant X5","ENSMUSG00000043372","4933402L21Rik","11","protein_coding",NA,"HEXIM2"
"Agt","GSM2545336",8586,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","11606","angiotensinogen (serpin peptidase inhibitor, clade A, member 8)","ENSMUSG00000031980","angiotensin precursor","8","protein_coding","abnormal blood homeostasis","AGT"
"Rlbp1","GSM2545336",209,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","19771","retinaldehyde binding protein 1, transcript variant X4","ENSMUSG00000039194","3110056M11Rik","7","protein_coding","abnormal tooth morphology","RLBP1"
"Jam2","GSM2545336",3033,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","67374","junction adhesion molecule 2","ENSMUSG00000053062","2410030G21Rik","16","protein_coding","abnormal retina morphology","JAM2"
"Lcat","GSM2545336",1239,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","16816","lecithin cholesterol acyltransferase","ENSMUSG00000035237","D8Wsu61e","8","protein_coding","abnormal adrenal gland morphology","LCAT"
"Oxct1","GSM2545336",11355,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","67041","3-oxoacid CoA transferase 1","ENSMUSG00000022186","2610008O03Rik","15","protein_coding","abnormal autophagy","OXCT1"
"Cacna1e","GSM2545336",5200,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","12290","calcium channel, voltage-dependent, R type, alpha 1E subunit, transcript variant X5","ENSMUSG00000004110","alpha1E","1","protein_coding","abnormal channel response","CACNA1E"
"Fa2h","GSM2545336",1254,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","338521","fatty acid 2-hydroxylase","ENSMUSG00000033579","Faxdc1","8","protein_coding","abnormal Purkinje cell morphology","FA2H"
"Plxnb3","GSM2545336",724,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","140571","plexin B3, transcript variant X1","ENSMUSG00000031385","Plxn6","X","protein_coding","abnormal coat appearance","PLXNB3"
"Lman2l","GSM2545336",864,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","214895","lectin, mannose-binding 2-like, transcript variant X2","ENSMUSG00000001143","A630028F14Rik","1","protein_coding",NA,"LMAN2L"
"Dpy19l1","GSM2545336",2157,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","244745","dpy-19-like 1 (C. elegans), transcript variant X1","ENSMUSG00000043067","1100001I19Rik","9","protein_coding","abnormal heart morphology","DPY19L1"
"Kctd21","GSM2545336",549,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","622320","potassium channel tetramerisation domain containing 21, transcript variant X1","ENSMUSG00000044952","EG622320","7","protein_coding",NA,"KCTD21"
"Thra","GSM2545336",17222,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","21833","thyroid hormone receptor alpha","ENSMUSG00000058756","6430529J03Rik","11","protein_coding","abnormal body weight","THRA"
"Dok3","GSM2545336",78,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","27261","docking protein 3","ENSMUSG00000035711","p62Dok-like protein","13","protein_coding","abnormal B cell physiology","DOK3"
"Sult1a1","GSM2545336",1658,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","20887","sulfotransferase family 1A, phenol-preferring, member 1, transcript variant X1","ENSMUSG00000030711","PST","7","protein_coding","abnormal blood homeostasis",NA
"Rpe","GSM2545336",872,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","66646","ribulose-5-phosphate-3-epimerase, transcript variant X8","ENSMUSG00000026005","2810429B02Rik","1","protein_coding","abnormal kidney morphology","RPEL1"
"Acrbp","GSM2545336",231,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","54137","proacrosin binding protein, transcript variant 1","ENSMUSG00000072770","OY-TES-1","6","protein_coding","delayed fertilization","ACRBP"
"Slc2a9","GSM2545336",190,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","117591","solute carrier family 2 (facilitated glucose transporter), member 9, transcript variant 4","ENSMUSG00000005107","Glut9","5","protein_coding","abnormal renal reabsorption","SLC2A9"
"Emp2","GSM2545336",993,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","13731","epithelial membrane protein 2","ENSMUSG00000022505","Xmp","16","protein_coding",NA,"EMP2"
"Aipl1","GSM2545336",91,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","114230","aryl hydrocarbon receptor-interacting protein-like 1, transcript variant X5","ENSMUSG00000040554","A930007I01Rik","11","protein_coding","abnormal Muller cell morphology","AIPL1"
"Uri1","GSM2545336",2955,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","19777","URI1, prefoldin-like chaperone, transcript variant X1","ENSMUSG00000030421","C80913","7","protein_coding","increased circulating amylase level","URI1"
"Bcs1l","GSM2545336",343,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","66821","BCS1-like (yeast), transcript variant X1","ENSMUSG00000026172","9130022O19Rik","1","protein_coding","preweaning lethality complete penetrance","BCS1L"
"Rbm3","GSM2545336",11184,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","19652","RNA binding motif protein 3, transcript variant 1","ENSMUSG00000031167","2600016C11Rik","X","protein_coding","abnormal liver morphology","RBM3"
"Tra2a","GSM2545336",3405,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","101214","transformer 2 alpha homolog (Drosophila), transcript variant X5","ENSMUSG00000029817","1500010G04Rik","6","protein_coding","decreased startle reflex","TRA2A"
"Prex1","GSM2545336",3573,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","277360","phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 1","ENSMUSG00000039621","P-REX1","2","protein_coding","abnormal contextual conditioning behavior","PREX1"
"Josd2","GSM2545336",1132,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","66124","Josephin domain containing 2, transcript variant 1","ENSMUSG00000038695","1110007C05Rik","7","protein_coding",NA,"JOSD2"
"Tmco3","GSM2545336",1289,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","234076","transmembrane and coiled-coil domains 3","ENSMUSG00000038497","B230339H12Rik","8","protein_coding","increased startle reflex","TMCO3"
"Srebf1","GSM2545336",4044,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","20787","sterol regulatory element binding transcription factor 1","ENSMUSG00000020538","ADD-1","11","protein_coding","abnormal triglyceride level","SREBF1"
"Acer2","GSM2545336",983,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","230379","alkaline ceramidase 2, transcript variant X2","ENSMUSG00000038007","2410116I05Rik","4","protein_coding","abnormal sphingolipid level","ACER2"
"Tsga10","GSM2545336",231,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","211484","testis specific 10, transcript variant X10","ENSMUSG00000060771","4933432N21Rik","1","protein_coding",NA,"TSGA10"
"Cyp3a13","GSM2545336",238,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","13113","cytochrome P450, family 3, subfamily a, polypeptide 13","ENSMUSG00000029727","IIIAm2","5","protein_coding","no abnormal phenotype detected","CYP3A43"
"Relt","GSM2545336",1147,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","320100","RELT tumor necrosis factor receptor, transcript variant X10","ENSMUSG00000008318","E430021K24Rik","7","protein_coding","abnormal T cell morphology","RELT"
"Nrep","GSM2545336",26832,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","27528","neuronal regeneration related protein, transcript variant 2","ENSMUSG00000042834","D0H4S114","18","protein_coding","abnormal grooming behavior","NREP"
"Slc14a1","GSM2545336",1344,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","108052","solute carrier family 14 (urea transporter), member 1, transcript variant 3","ENSMUSG00000059336","2610507K20Rik","18","protein_coding","abnormal Sertoli cell development","SLC14A1"
"Pnpla2","GSM2545336",2366,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","66853","patatin-like phospholipase domain containing 2, transcript variant 3","ENSMUSG00000025509","0610039C21Rik","7","protein_coding","abnormal brown adipose tissue morphology","PNPLA2"
"Map6d1","GSM2545336",1619,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","208158","MAP6 domain containing 1","ENSMUSG00000041205","A330066I15Rik","16","protein_coding",NA,"MAP6D1"
"Ier5","GSM2545336",1233,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","15939","immediate early response 5","ENSMUSG00000056708",NA,"1","protein_coding",NA,"IER5"
"Bfsp2","GSM2545336",60,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","107993","beaded filament structural protein 2, phakinin","ENSMUSG00000032556","CP49","9","protein_coding","abnormal cell cytoskeleton morphology","BFSP2"
"Idi1","GSM2545336",465,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","319554","isopentenyl-diphosphate delta isomerase","ENSMUSG00000058258","4832416K17Rik","13","protein_coding","decreased grip strength","IDI1"
"Kat2b","GSM2545336",7775,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","18519","K(lysine) acetyltransferase 2B, transcript variant X2","ENSMUSG00000000708","A930006P13Rik","17","protein_coding","decreased circulating HDL cholesterol level","KAT2B"
"Rmdn3","GSM2545336",4047,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","67809","regulator of microtubule dynamics 3","ENSMUSG00000070730","1200015F23Rik","2","protein_coding","abnormal Purkinje cell morphology","RMDN3"
"Eif4b","GSM2545336",12319,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","75705","eukaryotic translation initiation factor 4B","ENSMUSG00000058655","2310046H11Rik","15","protein_coding","abnormal auditory brainstem response","EIF4B"
"Grm4","GSM2545336",9157,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","268934","glutamate receptor, metabotropic 4, transcript variant 2","ENSMUSG00000063239","Gprc1d","17","protein_coding","abnormal motor learning","GRM4"
"Pink1","GSM2545336",27791,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","68943","PTEN induced putative kinase 1","ENSMUSG00000028756","1190006F07Rik","4","protein_coding","decreased mean platelet volume","PINK1"
"Mettl16","GSM2545336",752,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","67493","methyltransferase like 16, transcript variant X3","ENSMUSG00000010554","2610100D03Rik","11","protein_coding","abnormal coat/hair pigmentation","METTL16"
"Fam193b","GSM2545336",2226,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","212483","family with sequence similarity 193, member B","ENSMUSG00000021495","IRIZIO","13","protein_coding",NA,"FAM193B"
"Rtca","GSM2545336",2145,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","66368","RNA 3'-terminal phosphate cyclase","ENSMUSG00000000339","2310009A18Rik","3","protein_coding","improved central nervous system regeneration","RTCA"
"Fgfbp1","GSM2545336",188,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","14181","fibroblast growth factor binding protein 1, transcript variant X2","ENSMUSG00000048373","FGF-BP","5","protein_coding","abnormal neuromuscular synapse morphology","FGFBP1"
"Pigs","GSM2545336",2208,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","276846","phosphatidylinositol glycan anchor biosynthesis, class S","ENSMUSG00000041958","LOC245087","11","protein_coding",NA,"PIGS"
"Cfp","GSM2545336",485,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","18636","complement factor properdin","ENSMUSG00000001128","Pfc","X","protein_coding","abnormal cardiovascular system physiology","CFP"
"Desi1","GSM2545336",5120,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","28075","desumoylating isopeptidase 1, transcript variant X1","ENSMUSG00000022472","D15Wsu75e","15","protein_coding",NA,"DESI1"
"Gbp4","GSM2545336",816,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","17472","guanylate binding protein 4, transcript variant X6","ENSMUSG00000079363","Mag-2","5","protein_coding","decreased circulating alkaline phosphatase level","GBP6"
"Nid1","GSM2545336",776,"Mus musculus",8,"Female","InfluenzaA","C57BL/6",8,"Cerebellum","14","18073","nidogen 1","ENSMUSG00000005397","entactin","13","protein_coding","abnormal basement membrane morphology","NID1"
